"id";"usuario";"recurso";"accion";"fecha";"resultado";"motivo";"direccion_ip"
"45";"admin";"auditoria";"VIEW_AUDIT";"2026-09-23 13:04:27";"PERMITIDO";"RBAC y ABAC OK";"::1"
"44";"admin";"auth";"LOGIN";"2026-09-23 13:04:27";"PERMITIDO";"Inicio de sesion correcto";"::1"
"43";"admin";"auditoria";"VIEW_AUDIT";"2026-09-23 13:02:59";"PERMITIDO";"RBAC y ABAC OK";"::1"
"42";"admin";"auth";"LOGIN";"2026-09-23 13:02:59";"PERMITIDO";"Inicio de sesion correcto";"::1"
"41";"admin";"auditoria";"VIEW_AUDIT";"2026-09-23 12:58:10";"PERMITIDO";"RBAC y ABAC OK";"::1"
"40";"admin";"auth";"LOGIN";"2026-09-23 12:58:10";"PERMITIDO";"Inicio de sesion correcto";"::1"
"39";"admin";"auditoria";"VIEW_AUDIT";"2026-09-23 12:57:22";"PERMITIDO";"RBAC y ABAC OK";"::1"
"38";"admin";"auth";"LOGIN";"2026-09-23 12:57:22";"PERMITIDO";"Inicio de sesion correcto";"::1"
"37";"admin";"auditoria";"VIEW_AUDIT";"2026-09-23 12:56:53";"PERMITIDO";"RBAC y ABAC OK";"::1"
"36";"admin";"auth";"LOGIN";"2026-09-23 12:56:53";"PERMITIDO";"Inicio de sesion correcto";"::1"
"35";"luis.perez";"auditoria";"VIEW_AUDIT";"2026-09-23 12:55:40";"DENEGADO";"RBAC: Rol EMPLEADO no tiene el permiso AUDITORIA_VER";"::1"
"34";"luis.perez";"auth";"LOGIN";"2026-09-23 12:55:40";"PERMITIDO";"Inicio de sesion correcto";"::1"
"33";"jorge.vega";"documento-5";"READ";"2026-09-23 12:55:39";"PERMITIDO";"RBAC y ABAC OK";"::1"
"32";"jorge.vega";"auth";"LOGIN";"2026-09-23 12:55:39";"PERMITIDO";"Inicio de sesion correcto";"::1"
"31";"luis.perez";"documento-nuevo";"CREATE";"2026-09-23 12:55:39";"DENEGADO";"ABAC: P2_NIVEL (Nivel: 2 < 4)";"::1"
"30";"luis.perez";"auth";"LOGIN";"2026-09-23 12:55:39";"PERMITIDO";"Inicio de sesion correcto";"::1"
"29";"carlos.ruiz";"documento-2";"UPDATE";"2026-09-23 12:55:39";"DENEGADO";"ABAC: P3_PROPIEDAD (Propiedad: usuario 3 != propietario 4)";"::1"
"28";"carlos.ruiz";"auth";"LOGIN";"2026-09-23 12:55:39";"PERMITIDO";"Inicio de sesion correcto";"::1"
"27";"diego.chile";"documento-2";"READ";"2026-09-23 12:55:38";"DENEGADO";"ABAC: P5_PAIS (Pais: usuario CHILE, ubicacion PERU, documento PERU)";"::1"
"26";"diego.chile";"auth";"LOGIN";"2026-09-23 12:55:38";"PERMITIDO";"Inicio de sesion correcto";"::1"
"25";"invitado.ext";"documento-3";"READ";"2026-09-23 12:55:38";"DENEGADO";"ABAC: P2_NIVEL (Nivel: 1 < 4); P8_INVITADO (Invitado: contrato EXTERNO, nivel doc 4, estado APROBADO)";"::1"
"24";"invitado.ext";"auth";"LOGIN";"2026-09-23 12:55:38";"PERMITIDO";"Inicio de sesion correcto";"::1"
"23";"invitado.ext";"documento-6";"READ";"2026-09-23 12:55:38";"PERMITIDO";"RBAC y ABAC OK";"::1"
"22";"invitado.ext";"auth";"LOGIN";"2026-09-23 12:55:38";"PERMITIDO";"Inicio de sesion correcto";"::1"
"21";"rosa.diaz";"documento-4";"READ";"2026-09-23 12:55:37";"DENEGADO";"ABAC: P6_DISPOSITIVO (Dispositivo: PERSONAL)";"::1"
"20";"rosa.diaz";"auth";"LOGIN";"2026-09-23 12:55:37";"PERMITIDO";"Inicio de sesion correcto";"::1"
"19";"rosa.diaz";"documento-3";"READ";"2026-09-23 12:55:37";"DENEGADO";"ABAC: P4_HORARIO (Horario: 20:30 (permitido 08:00 - 18:00))";"::1"
"18";"rosa.diaz";"auth";"LOGIN";"2026-09-23 12:55:37";"PERMITIDO";"Inicio de sesion correcto";"::1"
"17";"sofia.inactiva";"auth";"LOGIN";"2026-09-23 12:55:37";"DENEGADO";"Usuario INACTIVO";"::1"
"16";"jorge.vega";"documento-1";"UPDATE";"2026-09-23 12:55:36";"DENEGADO";"RBAC: Rol AUDITOR no tiene el permiso DOC_MODIFICAR";"::1"
"15";"jorge.vega";"auth";"LOGIN";"2026-09-23 12:55:36";"PERMITIDO";"Inicio de sesion correcto";"::1"
"14";"rosa.diaz";"documento-7";"DELETE";"2026-09-23 12:55:36";"PERMITIDO";"RBAC y ABAC OK";"::1"
"13";"rosa.diaz";"auth";"LOGIN";"2026-09-23 12:55:36";"PERMITIDO";"Inicio de sesion correcto";"::1"
